abs_ssc,name,state,area
"SSC10544",Braefield,New South Wales,20.39
"SSC10545",Braemar,New South Wales,2.29
"SSC10546",Braemar Bay,New South Wales,67.84
"SSC10547",Braidwood,New South Wales,234.62
"SSC10548",Brandy Hill,New South Wales,5.39
"SSC10549",Branxton,New South Wales,33.33
"SSC10550",Braunstone,New South Wales,48.73
"SSC10551",Brawboy,New South Wales,61.22
"SSC10552",Bray Park,New South Wales,0.97
"SSC10553",Brays Creek,New South Wales,16.45
"SSC10554",Brayton,New South Wales,91.60
"SSC10555",Breadalbane,New South Wales,141.57
"SSC10556",Breakfast Creek,New South Wales,37.17
"SSC10557",Breakfast Point,New South Wales,0.52
"SSC10558",Bream Beach,New South Wales,0.54
"SSC10559",Bredbo,New South Wales,246.45
"SSC10560",Breelong,New South Wales,262.90
"SSC10561",Breeza,New South Wales,314.24
"SSC10562",Bretti,New South Wales,74.06
"SSC10563",Brewarrina,New South Wales,3983.10
"SSC10564",Brewongle,New South Wales,43.79
"SSC10565",Briarbrook,New South Wales,100.08
"SSC10566",Bribbaree,New South Wales,301.45
"SSC10567",Bridgman,New South Wales,69.97
"SSC10568",Brierfield,New South Wales,52.06
"SSC10569",Brighton-le-Sands,New South Wales,1.57
"SSC10570",Brightwaters,New South Wales,1.69
"SSC10571",Bril Bril,New South Wales,46.52
"SSC10572",Brimbin,New South Wales,27.79
"SSC10573",Brindabella,New South Wales,510.47
"SSC10574",Brinerville,New South Wales,238.47
"SSC10575",Bringelly,New South Wales,40.21
"SSC10576",Bringenbrong,New South Wales,79.58
"SSC10577",Brisbane Grove,New South Wales,16.72
"SSC10578",Broadmeadow,New South Wales,2.69
"SSC10579",Broadwater (Bega Valley - NSW),New South Wales,5.31
"SSC10580",Broadwater (Richmond Valley - NSW),New South Wales,57.76
"SSC10581",Broadway,New South Wales,106.38
"SSC10582",Brobenah,New South Wales,98.24
"SSC10583",Brocklehurst,New South Wales,81.68
