school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
42740,Breadalbane Public School,Breadalbane,NSW,2581,Government,Primary,http://www.breadalban-p.schools.nsw.edu.au,K-6,1.3,0.7,7,6,1
42741,Bredbo Public School,Bredbo,NSW,2626,Government,Primary,http://www.bredbo-p.schools.nsw.edu.au,K-6,1.3,1.2,6,1,5
42742,Bulli Public School,Bulli,NSW,2516,Government,Primary,http://www.bulli-p.schools.nsw.edu.au,K-6,12.1,2.3,206,102,104
42743,Bundanoon Public School,Bundanoon,NSW,2578,Government,Primary,http://www.bundanoon-p.schools.nsw.edu.au,K-6,9.7,2,174,80,94
42744,Bungendore Public School,Bungendore,NSW,2621,Government,Primary,http://www.bungendore-p.schools.nsw.edu.au,"U, K-6",26.8,4.6,494,242,252
42745,Burrawang Public School,Burrawang,NSW,2577,Government,Primary,http://www.burrawang-p.schools.nsw.edu.au,K-6,2.5,0.9,27,18,9
42746,Cambewarra Public School,Cambewarra,NSW,2540,Government,Primary,http://www.cambewarra-p.schools.nsw.edu.au,K-6,16,2.9,308,159,149
42747,Candelo Public School,Candelo,NSW,2550,Government,Primary,http://www.candelo-p.schools.nsw.edu.au,K-6,4,1.4,58,30,28
42748,Captains Flat Public School,Captains Flat,NSW,2623,Government,Primary,http://www.captainsfl-p.schools.nsw.edu.au,K-6,2.7,0.9,39,15,24
42749,Cobargo Public School,Cobargo,NSW,2550,Government,Primary,http://www.cobargo-p.schools.nsw.edu.au,K-6,4,1.4,69,29,40
42750,Coledale Public School,Coledale,NSW,2515,Government,Primary,http://www.coledale-p.schools.nsw.edu.au,K-6,7.2,1.6,138,63,75
42751,Collector Public School,Collector,NSW,2581,Government,Primary,http://www.collector-p.schools.nsw.edu.au,K-6,2.5,0.9,30,19,11
42752,Coniston Public School,Coniston,NSW,2500,Government,Primary,http://www.coniston-p.schools.nsw.edu.au,"U, K-6",13.9,5,179,79,100
42753,Shoalhaven Heads Public School,Shoalhaven Heads,NSW,2535,Government,Primary,http://www.shoalhaven-p.schools.nsw.edu.au,K-6,12.6,2.3,194,100,94
42754,Cooma Public School,Cooma,NSW,2630,Government,Primary,http://www.cooma-p.schools.nsw.edu.au/,"U, K-6",18.2,5.4,265,115,150
42755,Corrimal Public School,Corrimal,NSW,2518,Government,Primary,http://www.corrimal-p.schools.nsw.edu.au,K-6,19.6,1.9,196,108,88
42756,Crookwell Public School,Crookwell,NSW,2583,Government,Primary,http://www.crookwell-p.schools.nsw.edu.au,K-6,12.8,2.4,226,108,118
42757,Dalgety Public School,Dalgety,NSW,2628,Government,Primary,http://www.dalgety-p.schools.nsw.edu.au,K-6,1.8,1.1,20,8,12
42758,Dalton Public School,Dalton,NSW,2581,Government,Primary,http://www.dalton-p.schools.nsw.edu.au,K-6,1.3,1,17,4,13
42759,Dapto Public School,Horsley,NSW,2530,Government,Primary,http://www.dapto-p.schools.nsw.edu.au,"U, K-6",38.6,7.5,707,338,369
42760,Delegate Public School,Delegate,NSW,2633,Government,Primary,http://www.delegate-p.schools.nsw.edu.au,K-6,2.9,0.9,34,17,17
42761,Eden Public School,Eden,NSW,2551,Government,Primary,http://www.eden-p.schools.nsw.edu.au,"U, K-6",18.3,6.6,267,129,138
42762,Exeter Public School,Exeter,NSW,2579,Government,Primary,http://www.exeter-p.schools.nsw.edu.au,K-6,7,1.7,131,66,65
42763,Fairy Meadow Public School,Fairy Meadow,NSW,2519,Government,Primary,http://www.fairymeado-p.schools.nsw.edu.au,"U, P-6",25.2,8.2,376,170,206
42764,Falls Creek Public School,Falls Creek,NSW,2540,Government,Primary,http://www.fallscreek-p.schools.nsw.edu.au,K-6,3.7,1.4,48,23,25
42765,Gerringong Public School,Gerringong,NSW,2534,Government,Primary,http://www.gerringong-p.schools.nsw.edu.au,K-6,25.7,3.3,451,209,242
42766,Windang Public School,Windang,NSW,2528,Government,Primary,http://www.windang-p.schools.nsw.edu.au,K-6,10.1,1.9,170,88,82
42767,Glenquarry Public School,Glenquarry,NSW,2576,Government,Primary,http://www.glenquarry-p.schools.nsw.edu.au,K-6,2.5,0.9,28,8,20
42768,Goulburn Public School,Goulburn,NSW,2580,Government,Primary,http://www.goulburn-p.schools.nsw.edu.au,K-6,11.2,2.1,158,65,93
